,Airline Name,Overall_Rating,Review_Title,Review Date,Verified,Review,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended
11029,Hong Kong Airlines,8,Hong Kong Airlines customer review,27th August 2018,True,"  Hong Kong to Bangkok. I haven't flown with Hong Kong Airlines for well over a year and so much has changed (for the better). Both sectors the business class is 1x2x1 configuration fully flat bed. The new lounge at the satellite terminal is beautiful and really worth a visit.The service is top notch, with an improved menu. Welcome drink is just water and juice, no champagne on offer, but alcohol is served during the meal if requested. Boarding is very orderly and efficient both in HK and BKK. Crew are welcoming and pro-active, especially the senior purser who held a great conversation with me. On return, a new A350 aircraft is deployed and the product just got even better! The famous Blue elephant restaurant designed a good menu for them. I am truly impressed by such an airline from my own country, their business class tickets are often very reasonably priced. therefore I have no hesitation to fly with them again in future.",A330-300 / A350-900,Solo Leisure,Business Class,Hong Kong to Bangkok,August 2018,4.0,5.0,4.0,4.0,4.0,,4.0,yes
3349,AirAsia Philippines,2,"""original flight was cancelled""",2nd June 2020,False,"  My original flight was cancelled one day before the supposed itinerary due economical reasons by AirAsia. A full refund on the credit card was promised. After 3 months I got a credit for future flights without having an option to choose.  In the end I tried to move to flight to a later date without any success. I was the chat several hours waiting. The emergency hotline if you get connected kicks you out after 10 min in the waiting line. When i got connected to service staff, she was not helpful to move the flight.  Overall contact from the customer to the airline seems not to be wanted from the side of Air Asia.",,Couple Leisure,Economy Class,Cebu to Singapore,March 2020,,,,,,,3.0,no
3039,Air Transat,1,"""such awful customer service""",17th August 2022,True,"  Lisbon to Los Angeles via Montreal. As others have said, their lost luggage service is virtually non-existent. Air Transat lost a bag almost two months ago, and we still haven't gotten a reimbursement! Calling or emailing for an update is simply impossible. No one responds to email, the website is no help, and the baggage hotline just redirects to the website. I've never experienced such awful customer service in my life. It's no use buying a low-cost airfare if you're going to get screwed in the long run.",,Family Leisure,Economy Class,Lisbon to Los Angeles via Montreal,June 2022,3.0,3.0,3.0,3.0,3.0,3.0,1.0,no
12449,Jetstar Asia,9,"""crew was friendly and efficient""",27th April 2019,True,  Yangon to Singapore (Flight 3K584 seat 1C). The online ticket purchase was easy. I was positively surprised with my check-in as well as the in-flight experience. I had to catch a connecting flight (with a different airline) and the check-in staff was very friendly and allocated a seat at the front so that I can disembark quickly. The crew was friendly and efficient.,,Solo Leisure,Economy Class,Yangon to Singapore,April 2019,4.0,4.0,4.0,5.0,,,5.0,yes
3169,AirAsia,1,"""Nothing on time. Nothing organized""",6th January 2023,True, ZERO OUT OF 100. Worst airline I have ever flown. Nothing on time. Nothing organized. Was selectively pulled out to have bags weighed and charged more. Extra 900 pesos for a carry on that weighed 8kg. Flight was delayed at every stop. Didn't arrive to catch our transport in Puerto Princesa on time. Then again leaving the flight was delayed an hour. Still sitting here as a matter of fact. Philippines Airlines and Cebu Pacific both moving smooth on either side of us.,,Family Leisure,Economy Class,Manila to Puerto Princesa,January 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
11763,ITA Airways,1,"""I was treated badly on board""",5th August 2022,False,  It’s been a nightmare honestly. I was treated badly on board and my flight were delayed and my bags were lost. Not much to say apart from I’ll never set foot on an ITA Airways flight again and I would not recommend it.,,Business,Economy Class,London to Tunis via Rome,July 2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
11270,Iberia Express,1,"""a miserable experience""",15th June 2018,True," Marrakesh to Malta via Madrid. Most disorganized airline I have had the misfortune of flying!! Our complaint with Iberia airlines began when we were stuck waiting to board at the rear doors of the aircraft on the steps in the hot Moroccan sun for 20 minutes, only to be told they needed to close the rear door so we would have to walk to the front. My mother, with her bad knee, and I walked back to the front doors of the aircraft where we were the last ones on board. At the top of the steps a man begins putting tags on our hand luggage without saying a word to us. I ask if this means they will have to be checked and he just says “No space” and gestures inside. I understand we are the last ones on the plane (not intentionally) so there is no space left but they could at least tell us what was happening with our bags instead of taking our luggage without a word. Inside the plane, there is no soap in the toilets which we realized after another passenger spilt Coca Cola on top of my mother wearing all white. Now the belt is ruined, shirt stained, and my mother is completely sticky. On arrival in Madrid, we wait to collect our bags next to the plane as the agent in Marrakech had instructed us. One of the flight attendants informed us that our bags were “probably” en route to the final destination of Malta. We replied that there was no information given, as to our final destination, so we deduced that the bags must be in Madrid. We are then told that “most likely” our bags were in Madrid but we would have to go outside security to collect them and then come back. After waiting at the baggage claim the bags finally arrived. We narrowly made our next flight and were one of the last on this flight as well. On our next flight we were lied to by two agents saying there was absolutely no space for our bags but once we were inside we found at least 10 empty spaces (as well as numerous empty seats) that we could have used rather than leaving our bags to get lost again. Overall a miserable experience flying with Iberia, I would recommend flying any of the low-cost airlines who have a better standard of service than this. I would have rather swam through the med than gone through this. My mother might not have many trips left and this company certainly ruined one of them.",,Family Leisure,Economy Class,Marrakesh to Malta via Madrid,June 2018,1.0,1.0,,1.0,,,1.0,no
19782,TAME,n,TAME customer review,12th February 2004,False,I agree 100% with Mr D'Adatto Tame´s staff's attitude contrast with the natural friendliness of Ecuadorian people. I have flown twice in the GYE GPS route and many others in the UIO-GYE-UIO and altough the new A320 is quiete a nice airplane the flight attendants on board all my flights are the worst crew I have flown with and believe me I fly a lot. What is the matter with the airline's staff please get someone who enjoy their jobs. Tame's staff have got really a bad attitude towards their customers. I hope and I really do that anyone from TAME would read these comments and take some action about the way they treat their passengers. There is a kind of new airline in Ecuador ICARO which you should try flying at least in the UIO-GYE route.,,,,,,,,,,,,,no
8667,Emirates,5,"""Cabin crew were really surly""",16th July 2023,True, First the good: flight not full so seat space was more than adequate and very comfortable. Entertainment was excellent as always on Emirates. Now the not so good: meal was barely passable and did not come with a drink which as a diabetic isn't good. Cabin crew were really surly and did not speak coherent English.,A380,Solo Leisure,Economy Class,Auckland to Dubai,May 2023,4.0,1.0,1.0,4.0,5.0,,4.0,yes
1423,Air China,1,"""Terrible service""",10th October 2019,False,"  Frankfurt to Shanghai with Air China. Terrible service at check in counter and terrible online check in. They would not let me pick a seat online. They said many people have the same problem. I was at the counter 5 hours before the flight to check in. They gave me the worst seat in the front row and did not ask. Luckily there were better empty seats behind me, so I switched. So stupid that they don’t care enough even about business class customers to offer them a good seat. At least on the plane they were better. ",A350,Couple Leisure,Business Class,Frankfurt to Shanghai,October 2019,3.0,4.0,4.0,1.0,3.0,,1.0,no
15054,Nok Air,1,"""terrible service""",31st July 2022,True, Delayed from Trang DD599 31st July. Staff repeatedly lying about delay and departure schedule. We will not travel on Nok again unless it is 110% essential travel. All Nok customers should be made aware of this terrible service. ,,Family Leisure,Economy Class,Trang to Bangkok,July 2022,2.0,2.0,,1.0,,,1.0,no
17571,SATA Air Azores,3,"""undue stress and frustration""",18th February 2017,False,"  We travelled on Flight S4301 from Lisbon to Toronto on Feb 10th. Firstly, the entertainment system did not work on our flight to Lisbon on Jan 7th and still was not working on Feb 10th flight. Most importantly: We never check baggage when flying: however SAT Azores limits cabin baggage to 8 kg so we reluctantly checked two small bags weighing approx 10 kg each. Arriving in Toronto the whole flight's luggage did not arrive on carousel 9 for 1.5 hrs. Other flights landed after us and had baggage on carousels before they got thru customs e.g. Georgetown/Port of Spain, Miami and Reykjavik. 1.5 hrs to get luggage is totally unacceptable - no one can leave for a connecting flight without taking luggage thru customs. This caused undue stress and frustration for the whole flight.",A330,Couple Leisure,Economy Class,Lisbon to Toronto,February 2017,2.0,3.0,3.0,1.0,,,1.0,no
4090,Allegiant Air,1,"""scores minus zero in my book""",5th December 2022,False," I was not able to actually take the trip for the ticket I purchased. According Allegiant's website, changes would be easy to make if necessary and only required a $25 fee. I attempted to make changes on Thanksgiving Day and could not reach them by phone, email, or the chat feature on their website. Hold times were in excess of 3 hours. Understanding this is the case during the holidays, I kept trying to reach them until I finally reached someone 4 days later by setting my alarm to wake me up at 4:00 a.m. so that I could call them. At this point, I was outside of the 7-day window, but tried to explain to the representative that I'd been trying to reach someone well before the 7-day advance notice requirement for changes. The key word here is that I ""tried"" to explain. The representative I spoke to was the rudest person I think I've ever reached in a customer service department. She kept cutting me off and reciting what sounded like a script that she was reading off of her computer screen. By the time she was finished listing all of the applicable fees, she said my $200 ticket was really only worth $23. I asked to speak to a supervisor and again attempted to explain the extenuating circumstances under which I needed to make a change, but she continued to rudely cut me off mid-sentence. Finally I was so angry I just hung up the phone. The airline needs to anticipate high call volume around holidays and still provide a means of communication with its customers. I was assured by the website that my email would receive a response within 24 to 48 hours, but now almost 2 weeks later I still haven't heard from anyone. They should also train their phone representatives to have some common courtesy and allow customers to speak and not treat everyone as if they're stupid. Let me also add I actually drove 45 minutes to the airport to speak to a representative in person, but there was not one single Allegiant employee at the airport that I could speak to. Overall, this airline scores minus zero in my book!",,Business,Economy Class,Houston to Mesa,December 2022,1.0,1.0,,1.0,,,1.0,no
12403,Jetstar Asia,3,"""Overall bad experience""",9th April 2023,True," Firstly, upon our arrival, the flight attendant was impatient and had a bad attitude. There was not enough space for our carry on bags above our seats and they gave us attitude by blaming us for not coming 'early enough' and because our bags are 'too big' - All of our bags were smaller than the dimension limits!! Clearly that's Jetstar's fault that they don't leave enough space for people's luggage. Secondly, the flight attendants all clearly saw that the people behind us were causing trouble by being very noisy the entire 6 hour flight and annoying everyone around them. We kept telling them to be quiet but instead of the staff helping to deescalate the situation they kept giving them more and more alcohol - they were clearly drunk! What happened to RSA and not giving drinks to intoxicated people? The more drinks they had the more noisy and bothersome they became. Overall bad experience and I would not recommend Jetstar to anyone.",A321,Family Leisure,Economy Class,Sydney to Bali,April 2023,3.0,1.0,,2.0,,,2.0,no
2582,Air New Zealand,2,"""I don't think I would fly with them again""",1st November 2021,False,"  Air NZ I think I would say are one of the worst I have ever flown with. Customer service to book flights and giving the right information is very poor. Kept calling them everyday for flights back to any state in Australia and they would say there aren't any flights, but with family friends I know they have booked flights back to Australia and when I asked they said not possible, I even send them information that has been stated from the Australian government and they had no knowledge about it. They lie too much in the customer service department, I flew with them because some had said they are world class but for me that's nowhere close to being a world class airline. I don't think I would fly with them again.",,Solo Leisure,Economy Class,Perth to Auckland,May 2021,1.0,2.0,2.0,3.0,2.0,1.0,2.0,no
18089,SilkAir,1,"""no service quality at all""",7th July 2016,False,"  Booked through SIA website and it turned out to be SilkAir flight to Xiamen. Regretted travelling with them as it turned out to be budget airline standard although you paid full fare. The cabin crew were stony-faced with no service quality at all. No head phones provided and no individual screen at all. Worse still, flight was late on arrival. Wish me luck with my return flight. Should have travelled with Xiamen Airlines which was cheaper. ",Boeing 737-800,Solo Leisure,Economy Class,SIN to XMN,July 2016,2.0,1.0,1.0,3.0,1.0,,1.0,no
9606,Flair Airlines,5,"""fly with minimal luggage""",2nd June 2023,True,"  I recently flew with Flair from Edmonton to Toronto. I have flown with Flair 4 or 5 times now on similar routes across the country. If you can fly with minimal luggage, ie. smaller than a full size carryon bag and you value saving money over pretty much everything else in the air travel experience than Flair can be great. They offer budget flight costs and deliver reliable budget flight experiences. If you need to carry luggage and/or you want any amenities at all you are going to end up paying more or being disappointed. I would recommend shopping around as I have had flights with West Jet and Air Canada that were as cheap or close to a Flair flight. You'll get a much better travel experience with those airlines. That said I will fly Flair again when their fares are significantly lower than the major airline options. Staff has been friendly and professional - planes are clean - flights have been mostly on schedule - cheap fares Cabins are cramped and older styles - service/amenities are limited or absent - you'll pay for anything extra you want including a carry on bag",Boeing 737-800,Solo Leisure,Economy Class,Edmonton to Toronto,May 2023,2.0,2.0,,3.0,,,5.0,yes
20599,Tigerair,2,"""lost loyal travellers""",11th January 2016,False,"Denpasar to Singapore. I am a regular customer of Tigerair and in general quite satisfied with their value for money proposition. Now for our upcoming holiday I forgot to turn off the 20 kg add-on luggage option that is the standard option for all of my 5 family members both ways. At 27$ per person the maximum added costs is 270$. When I called their service hotline for some leniency it was made clear that once confirmed nothing could be refunded. Actually the lady said that ""no refund is possible for all services you added."" I calmly made clear to her that I didn't add anything but that her airline added it for me. Still, nothing could be done. Tigerair just lost a whole family of loyal travellers.",,Family Leisure,Economy Class,DPS to SIN,January 2016,2.0,2.0,1.0,1.0,1.0,1.0,1.0,no
20267,Thai Smile Airways,1,"""my seat was set to center seat!""",17th October 2022,True,"  I had booked the ticket with aisle seat. But after checked in, the boarding pass mentioned a center seat. I didn’t check it when I received it because I believed the seat is to be the same as what I booked online. Then just before boarding I found my seat was set to center seat! So, you should not believe the staff at counter and must check it when you receive it.",A320,Business,Economy Class,Kathmandu to Bangkok,October 2022,1.0,3.0,3.0,1.0,,,1.0,no
11850,Japan Airlines,1,"""all of the food was truly superb""",29th December 2019,True," Boston to Manila via Tokyo-Narita. The flight from Boston to Tokyo was on a B787-9, and the flight from Tokyo to Manila was on a B787-8. The flight from Boston to Tokyo was scheduled to depart in the middle of a blizzard. Unfortunately, this created some problems regarding preparing the aircraft. We eventually boarded (very quickly, as is Japan Airlines' custom). We then had to wait for a while as our plane was de-iced. We ended up leaving Boston about two hours late. However, the pilots were able to make up for one of those hours in the air, so that we only arrived about one hour late in Tokyo. Another passenger was concerned about making his connecting flight in Tokyo. A flight attendant calmly explained that he would have enough time and that they would hold the flight for him if necessary. This turned out to be unnecessary, as, to my shock, the staff at Narita basically just allowed all arriving passengers with connecting international flights to go directly into the gate area without first clearing security. This was truly a godsend and ensured that people really did make their connecting flights. And since gates weren't supposed to close until just 10 minutes before departure, this meant they did not even have to hold planes for people! As for the inflight experience, it was similar to my experiences from Manila to Boston, except that there was no last-minute snack service just before arriving in Tokyo. Instead, they offered us sweet buns midway through the flight. Again, we were served a full meal on the flight from Boston to Tokyo and on the flight from Tokyo to Manila, as well as a light meal towards the end of the flight from Boston to Tokyo. And once again, with the exception of the full meal from Boston to Tokyo, there were no choices for the meals-there was only one option. However, as usual, all of the food was truly superb. Because I was flying during a different month from my previous flights with Japan Airlines, I noticed they removed from their entertainment system a movie I had begun watching previously and had hoped to finish watching during this trip. That was disappointing. There were toothbrushes and toothpaste available in the lavatories during the flight from Boston to Tokyo, but not until relatively late in the flight. Again, flight attendants and gate staff were fantastic. Another excellent experience on Japan Airlines!",Boeing 787-8 and Boeing 787-9,Solo Leisure,Economy Class,Boston to Manila via Narita,December 2019,5.0,5.0,5.0,5.0,3.0,,5.0,yes
18918,SpiceJet,9,"""cabin crew were professional""",10th March 2022,True,  I was delighted to fly with SpiceJet as my recent experience with them was fantastic. The cabin crew were professional and kept their cool throughout the journey. Their hospitality was commendable. ,,Family Leisure,Economy Class,Dubai to Madurai,March 2022,5.0,5.0,5.0,5.0,,,5.0,yes
6300,Bulgaria Air,7,Bulgaria Air customer review,5th October 2014,False,I have flown from Paris CDG to Sofia with an Embraer 190. Nice staff serving excellent food. Nevertheless the legroom in the first business row is quite bad.,,,Business Class,,,0.0,0.0,0.0,,0.0,,0.0,yes
23087,Yangon Airways,8,"""All in all a good flight""",26th September 2017,False,"  Bagan to Heho. Very short flight again another ATR aircraft, as a nervous passenger I was not looking forward to the flight but it was great. Seating was 2-2, no seat numbers given as only a few passengers on this flight. No Inflight snack but coffee or cold drinks were supplied. All in all a good flight and would travel again.",,Solo Leisure,Economy Class,Bagan to Heho,September 2017,4.0,2.0,3.0,2.0,,,4.0,yes
2279,Air Mauritius,1,"""expected better treatment""",14th October 2017,False,"  London to Mauritius. In July 2017 myself, my wife and 2 children aged 1 and 3 travelled to Mauritius. As a regular kestrel Flyer, I expected better treatment and better service. They are very child unfriendly.  When we landed, one of our luggage was missing. This is despite the flight was the flight was delayed by more than one hour. We landed on a Sunday, and had to attend a wedding the same night. My wedding clothes and that of my wife were in that luggage. I complained to the staff, they could not care less and said I was not entitled to anything and was sent away. No manager was available and later in turned out that the duty manager on the day was busy attending to the Prime Minister's wife in the State lounge and could not be bothered about paying passengers. I complained to their customer service, and the service I received was poor. I wrote to the CEO and their Chairman. No response at all from them. When we returned to the UK 2 weeks later, two Air Mauritius Staff were travelling. They were being given business class treatment when they were travelling in economy in front of paying customers. I spoke to the cabin crew about this, and they could not care less. What they offered me is 5000 travel points, 50 Euros, and to use their lounge when I travel next which is pathetic to what my family went through travelling with them. ",,Family Leisure,Economy Class,London to Mauritius,July 2017,1.0,1.0,2.0,1.0,,,1.0,no
1501,Air Dolomiti,1,"""could not care less about customers""",10th October 2021,True,"  They simply could not care less about customers. 4 people who had checked in early were denied seats because airline switched to a smaller aircraft. 4 suitcases lost and not delivered for 5 days. Zero chance to contact anybody and no communication at all from the airline. On return check in one counter for 150+ passengers. Upon asking why there are no more counters open it was suggested ""if you want to you can complain"". Return trip - luggage lost again. 80 mile delivery takes 3 days +",Embraer 195,Couple Leisure,Economy Class,Florenze to Fankfurt,October 2021,2.0,3.0,1.0,1.0,1.0,1.0,1.0,no
21668,Vietnam Airlines,1,"""Awful customer service""",31st January 2023,True," Awful customer service, impossible to contact and their website just kept coming up with an error message when I tried to change my flight. They had no representative at the airport despite co-operating a flight from there and I ended up having to buy a new ticket. Vietnam Airlines still refuse to refund the ticket I no longer needed. Never use this airline unless its a last resort they are totally useless. Also trying to talk to customer service in Ho Chi Minh airport is impossible as they just ignore foreigners and serve Vietnamese people first. Incredibly rude.",,Solo Leisure,Economy Class,Manila to Ho Chi Minh,December 2022,1.0,4.0,1.0,1.0,1.0,1.0,1.0,no
7467,Copa Airlines,1,"""experience was a total joke""",23rd January 2023,True,"  My husband and kids were returning from a a trip to Brazil. We got on the airplane everything was fine. Upon entering Panamá we had only 1 hour and 30 minutes. The people at the gate checked out stroller cart when we asked for the tag so we could use it in Panamá. We had two small kids and 4 carry ons with no stroller to carry the kids. We asked for help before the flight and when we got into Panamá, both times we were met with ""No"". We finally got to our gate and had to go through yet another security checkpoint, even though we just had a lay over. So they asked for my green card for no reason. They were rude and yelled at us. After that my kids were hungry and thirsty. So my husband when to go use the restroom and buy some food and drinks for us. When he came back the lady told us we couldn't have food and drinks in the gate area. So my husband called us to the side of the gate area and tried to give my and my kids a drink and the lady yelled at us and said they can't drink it inside the gate area.  The lady was standing there watching us. Like WTH. So my kids went out with my husband and I had to stay with the bags. Then when we got to the US our stroller was destroyed. The handle pad ripped, the cloth stained from grease and the sun visor broken. We tried to file a claim with Copa but they just brushed us off. It looks like garbage now. The whole experience was a total joke and just embarrassing for that company. We would rank it a big fat 1. ",,Family Leisure,Economy Class,São Paulo to Denver via Panamá ,January 2023,1.0,4.0,1.0,1.0,1.0,3.0,1.0,no
9482,Finnair,1,"""They have very bad customer service""",15th December 2021,False," This is the first time i used Finnair but it is also the last time. They have very bad customer service. My flight was from Oslo to Los Angeles. At Oslo airport, they dont have self service bag drop like other airlines, instead, they had only 1 person working at the baggage checkin, thus, there was such a long queue. I arrived at the airport 2 hours before the departure time because i thought it was enough, just like other times when i used other airlines. But the queue was so long that when i had my bag checked in it was already the departure time, meaning i wait in the line for 2 hours. I was so worried and people waiting at the same time with me also were frustrated. But they waited for us to board. But i had only 1 hr transfer time at Helsinki to take the flight to LAX, so when i landed in Helsinki it was 16.30 instead of 15.30 as schedule. My next flight departure time was 16.30 so i definitely would miss it. Lucky for me that the flight from HEL to LAX was also delayed because of bad weather so i could catch it, but they lost my baggage. I filled in the form at the airport to report the lost bag, they did not give me a report reference number so i cannot track where is my bag, then i contacted them by chatting but they only allow me to chat with this stupid chatbot that cannot help me anything, i tried to call them with the number on their website but it said the number is not valid. It is very frustrating with their bad customer service. I will never use this airline again. When i am writing this, i still don't know where is my bag and how can i contact them, they don't contact me at all",,Solo Leisure,Economy Class,Oslo to Los Angeles via Helsinki,December 2021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
2614,Air Niugini,2,"""aircraft clean but very old""",1st November 2015,False,"Air Niugini from Buka Port Moresby with Fokker 100. Good experience. Inflight service was nothing for Buka to Rabaul flight due to short flight time just 1 hour, Rabaul to Port Moresby with 2 cookies and orange juice Only. Aircraft clean but very old. No inflight Entertainment, no newspapers, no inflight magazine. Flight Attendant to keep the safety procedure.",Fokker 100,Solo Leisure,Economy Class,Buka to Port Moresby,October 2015,2.0,1.0,1.0,2.0,,,1.0,no
7628,Corsair,3,Corsair customer review,8th September 2011,False,YUL-CDG. First at check-in I had to wait but staff were friendly. VIP Lounge crowded lots of food choice drinks. and computers available. Was not hungry but soup cheese sandwiches all available. Boarding was chaotic they asked families with children first and Business passengers to follow. What an awful experience had to queue for a long time after children. Very old 747 cabin and plane staff in Classe Grand Large friendly. Nice IFE system with many choices of movies but we had little space. Food was tasteless and I wanted to sleep. Baggage delivery was quick. Corsair needs to update the planes and the Classe Grand large.,,,Business Class,,,,,,,,,4.0,yes
3309,AirAsia India,9,"""service was very good"" ",9th November 2018,True,  Goa to Hyderabad. The service by the inflight attendants was very good. The flight was the smoothest of all I had ever experienced. Even though the take off was a bit delayed the captain saw that we reach our destination on time. And the landing was the smoothest I ever experienced. The food options in their menu was also awesome.,,Family Leisure,Economy Class,Goa to Hyderabad,November 2018,5.0,5.0,5.0,5.0,,,5.0,yes
12455,Jetstar Asia,7,"""my entire journey was smooth""",7th February 2019,True,"  During my trip from Singapore to Ho Chi Minh City, my entire journey was smooth. Jetstar offers e-check in kiosk in Singapore Changi Airport Terminal 1 and you can obtain your boarding pass/upgrade yourself at the touch of a button. There are also check in counters available for my use which is very convenient. The crew on board were courteous and polite and it made the entire journey more enjoyable. Good job!",A320-200,Couple Leisure,Economy Class,Singapore to Ho Chi Minh City,January 2019,3.0,4.0,,4.0,,,5.0,yes
9108,Eurowings,1,"""The worst service and air company""",21st June 2022,True,"  Direct flight 19/06/2022 from Rome to Hamburg was canceled 7 hours before departure. No hotel, no food, no transfer offer / voucher of information from Eurowings.  Call center don’t answer. No Eurowings staff at the FCO airport. You have to find out everything by yourself. Had to find a hotel for my own money. But what if you don’t have money for hotel? Or food? Got only email with alternative flight 20/06/2022 evening from FCO to FRA and from FRA to HAJ which is not my final destination at all. From Hannover HAJ I have to somehow get to Hamburg HAM 21/06/2022 at night by my own. No transfer offer or any information. And two missed work days. The worst service and air company I know.  And compensation I can claim online is only 250eur? One hotel night and dinner in Rome costs more. ",,Solo Leisure,Economy Class,Rome to Hamburg,June 2022,1.0,1.0,,1.0,,,1.0,no
14857,Monarch Airlines,n,Monarch Airlines customer review,12th February 2015,False,Flight from Luton to Alicante last July. 9 hour delay minimal information. No staff on the ground. Arrived in the dark to collect my rental car. Return flight delayed although only 2/3 hours so felt lucky! No stairs to disembark at other end so had to wait half an hour for them to arrive then luggage didn't arrive for a further hour. Would never use them again.,,,Economy Class,,,3.0,2.0,0.0,,0.0,,1.0,no
20830,Transavia,1,"""incompetence at its best""",26th July 2023,False," Worst company ever, don't fly on it ever, and if you unfortunately have to - don't ever use suitcases only small bags that you can carry. Worst customer service ever, incompetence at its best, I don't advise it to anyone not even to my worst enemy. TRASH is too good to define this company/service.",Boeing 737,Couple Leisure,Economy Class,Berlin to Lisbon via Amsterdam,June 2023,2.0,1.0,1.0,1.0,,,1.0,no
11954,Jeju Air,6,"""the plane was very dirty""",27th August 2019,True,"  Seoul Incheon to Tokyo Narita. Cheap ticket and wasn’t expecting much but the plane was very dirty and tired looking. My seat back tray had clearly been used as a kids colouring book at some point on a previous flight and was covered in long stripes of multi colored crayon. I didn’t purchase any food on the flight so I didn’t need to make use of the tray so not a big deal though. The seat pocket and the sides of my seat were utterly gross, caked deep with crumbs, food fragments and assorted gunge that was all a bit nasty. No entertainment screens but there were in flight radio channels available which I didn’t use as I had my iPod to listen to as usual. The seats were a bit cramped with my knees touching the back of the seat in front (I’m 6ft tall so nothing particularly new on an LCC flight). When I put my bottle of water in the seat pocket I had to sit at an angle so I could fit in the space as well. The flight itself was smooth enough, the cabin attendants were polite and friendly and we got to our destination without any delays of troubles. Not the cleanest plane I’ve ever been on but we got from A to B cheaply",,Couple Leisure,Economy Class,Seoul Incheon to Tokyo Narita,August 2019,2.0,5.0,,5.0,2.0,,4.0,yes
5329,Bangkok Airways,9,"""Asia's favourite boutique airline""",31st August 2022,True,"  They deserve to be called Asia's favourite boutique airline. Everything about flying Bangkok Airways was a pleasure. From efficient check-in to friendly staff on the ground and in the air. But, most importantly the comfort of the business class seats. They are from an era in aviation when comfort was king. Okay, so there was no in-seat entertainment screen - but who still needs those anyway?",A319,Couple Leisure,Business Class,Ko Samui to Bangkok,August 2022,5.0,5.0,4.0,5.0,,,4.0,yes
12130,Jet2.com,9,"""Pretty punctual""",14th May 2019,True,"  Stansted to Naples. Another return trip with Jet2.com. Pretty punctual, friendly crew and slightly uncomfortable seating. Nothing special to report, no complaints.",Boeing 737-800,Couple Leisure,Economy Class,Stansted to Naples,May 2019,3.0,4.0,,4.0,,,4.0,yes
11641,Iran Air,n,Iran Air customer review,6th March 2005,False,CGN-HAM-THR at the end of December 2004 and back January 2005. First of all our flight was originally CGN-THR but due to one or another reason they flew to HAM first filled up the rather old but clean A310-300 with further passengers and then proceeded to THR. The result was that we arrived 6 hours delayed compared to what was previously planned. At least they called us one day before departure and told about the itinerary change. Furthermore we got a voucher of EUR 15- each for use in restaurants at CGN due to the delay. Inflight service was nice food was fine and women did not have to wear the headscarf onboard any more. Also took domestic flight at several occasions when travelling in Iran. THR-IFN IFN-SYZ KSH-THR and BND-THR (intermediate stop at IFN) on F100 B727 and A300B4 were fine on time good catering. They keep an old fleet that well-maintained and clean.,,,,,,,,,,,,,no
6865,China Airlines,7,"""there is good legroom space""",2nd August 2019,True,"  Taipei to Vancouver. Relatively new A350 with comfortable seats and nice 11"" IFE screen with USB and power outlet. The back seat design lacks enough forethought in not making available slots for tablets and mobile phones and a hook for small items to hang. Having said that there is good legroom space. The entertainment choice is still limited. The flight crew service was better than the ICN-TPE leg but they lack the courteousness that other Asian airlines are known for. One example, one flight attendant told a passenger to bring the seat back upright for a meal. She was quite rude and abrupt. For a Chinese her manner would have been viewed as a typical request, but as a flight attendant serving passengers of various nationalities, that would not be acceptable. She looked as if she was one of the more senior member of the flight crew. The food was still below average and the flight attendants were once again rushing through the meal service offering coffee and tea even though passengers had not finished the main meal. Overall, they lack the expected attention to detail and professionalism to compete effectively with other airlines. The excellent hardware, ie. the plane, is let down by the subpar flight crew service.",A350-900,Couple Leisure,Economy Class,Taipei to Vancouver,July 2019,4.0,3.0,3.0,3.0,3.0,,4.0,yes
21960,Vistara,1,"""treat you like a valued customer""",24th April 2023,True,"  Quickly becoming one of my favourite airline to travel with, Vistara treat you like a valued customer. The seat has an adjustable headrest, we were given free headphones for the IFE, a small meal was provided, all on a flight of under an hour! Also left on time and arrived early",A321,Solo Leisure,Economy Class,Mumbai to Goa,April 2023,4.0,5.0,5.0,4.0,4.0,,5.0,yes
8748,Emirates,5,"""not a very good experience""",13th December 2022,True," This was not a very good experience. Starting with the Airport, I was forced to check one of my carry-ons due to “no space” on the plane although it was not a full flight and I was made to pay a huge amount of money just for that and what’s worse is that the bag had a lot fragile souvenirs and I risked breaking all of them. Thank goodness it was loaded in Japan and no harm was done and the bag dodged a bullet. I don’t remember Emirates being that needlessly strict. I’m not sure if the airline changed the aircraft because the extra legroom seat that I paid for was different than the one I got as the exit door was in the way so I had to lean a little on the person next to me to get the full legroom feel. It was a long flight but it went smooth and the food was extremely delicious. The flight attendant that was assigned to our row, although efficient, made me feel like an inconvenience as she had very low energy and didn’t seem very enthusiastic to the point that while was pouring me apple juice, the carton ran out of juice while the cup was half full and that’s how she served it without bothering to open another carton. For the whole flight I was waiting for her to pass by us so I can ask the other, much nicer attendant for water and/or assistance whenever I needed something. For some weird reason, the much advertised On Air WiFi did not work which took another point out. ",A380,Solo Leisure,Economy Class,Tokyo Narita to Dubai,December 2022,3.0,2.0,5.0,3.0,5.0,1.0,3.0,yes
